"Name","rarity","tier","gearScore","type","itemType","description"
"Marauder Legatus Gauntlets of the Occultist","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Cuisses of the Occultist","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Greaves of the Occultist","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Syndicate Plague Doctor Mask of the Cleric","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Robes of the Cleric","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Gloves of the Cleric","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Pants of the Cleric","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Boots of the Cleric","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Marauder Legatus Helm of the Cleric","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Breastplate of the Cleric","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Gauntlets of the Cleric","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Cuisses of the Cleric","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Greaves of the Cleric","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Shattered Mountain Raider's Breastplate","Uncommon","5","535","item","armor","A heavy breastplate, given as a gift after fighting against the Corrupted in Shattered Mountain."
"Edge of Rebellion","Rare","5","535","item","weapon","""For the guts and glory."""
"Molten's Core","Uncommon","5","535","item","weapon","""It is only through the darkness that the light emerges."""
"Tempest's Heart","Uncommon","5","530","item","armor","Rewarded for completing the quest, 'The Tempest's Heart'."
"Governess","Common","5","525","item","weapon","""She did everything to protect her people. Sometimes it was from behind a desk. This time, it was at the battle lines."""
"Reinforced Marauder Commander Helm of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Breastplate of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Gauntlets of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Cuisses of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Greaves of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Covenant Adjudicator Helm of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Breastplate of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Gauntlets of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Cuisses of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Greaves of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Syndicate Alchemist Helm of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Breastplate of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Gauntlets of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Cuisses of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Greaves of the Barbarian","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Marauder Commander Hat of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Shirt of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Gloves of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Leggings of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Shoes of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Covenant Adjudicator Hat of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Shirt of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Gloves of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Leggings of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Shoes of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Syndicate Alchemist Hat of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Shirt of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Gloves of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Leggings of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Shoes of the Priest","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Marauder Commander Headgear of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Coat of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Mitts of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Pants of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Marauder Commander Boots of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Marauders"
"Reinforced Syndicate Alchemist Headgear of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Coat of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Mitts of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Pants of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Syndicate Alchemist Boots of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Syndicate"
"Reinforced Covenant Adjudicator Headgear of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Coat of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Mitts of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Pants of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Reinforced Covenant Adjudicator Boots of the Brigand","Uncommon","5","525","item","armor","Armor adorned with the colors and insignia of the Covenant"
"Marauder Commander Longsword","Rare","5","525","item","weapon","A well made longsword for Marauder Commanders."
"Syndicate Alchemist Longsword","Rare","5","525","item","weapon","A well made longsword for Syndicate Alchemists."
"Covenant Adjudicator Longsword","Rare","5","525","item","weapon","A well made longsword for Covenant Adjudicators."
"Marauder Commander Greataxe","Rare","5","525","item","weapon","A well made greataxe for Marauder Commanders."
"Syndicate Alchemist Greataxe","Rare","5","525","item","weapon","A well made greataxe for Syndicate Alchemists."
"Covenant Adjudicator Greataxe","Rare","5","525","item","weapon","A well made greataxe for Covenant Adjudicators."
"Marauder Commander Musket","Rare","5","525","item","weapon","A well made musket for Marauder Commanders."
"Syndicate Alchemist Musket","Rare","5","525","item","weapon","A well made musket for Syndicate Alchemists."
"Covenant Adjudicator Musket","Rare","5","525","item","weapon","A well made musket for Covenant Adjudicators."
"Marauder Commander Bow","Rare","5","525","item","weapon","A well made bow for Marauder Commanders."
"Syndicate Alchemist Bow","Rare","5","525","item","weapon","A well made bow for Syndicate Alchemists."
"Covenant Adjudicator Bow","Rare","5","525","item","weapon","A well made bow for Covenant Adjudicators."
"Marauder Commander Hatchet","Rare","5","525","item","weapon","A well made hatchet for Marauder Commanders."
"Syndicate Alchemist Hatchet","Rare","5","525","item","weapon","A well made hatchet for Syndicate Alchemists."
"Covenant Adjudicator Hatchet","Rare","5","525","item","weapon","A well made hatchet for Covenant Adjudicators."
"Marauder Commander Fire Staff","Rare","5","525","item","weapon","A well made fire staff for Marauder Commanders."
"Syndicate Alchemist Fire Staff","Rare","5","525","item","weapon","A well made fire staff for Syndicate Alchemists."
"Covenant Adjudicator Fire Staff","Rare","5","525","item","weapon","A well made fire staff for Covenant Adjudicators."
"Marauder Commander Life Staff","Rare","5","525","item","weapon","A well made life staff for Marauder Commanders."
"Syndicate Alchemist Life Staff","Rare","5","525","item","weapon","A well made life staff for Syndicate Alchemists."
"Covenant Adjudicator Life Staff","Rare","5","525","item","weapon","A well made life staff for Covenant Adjudicators."
"Marauder Commander War Hammer","Rare","5","525","item","weapon","A well made war hammer for Marauder Commanders."
"Syndicate Alchemist War Hammer","Rare","5","525","item","weapon","A well made war hammer for Syndicate Alchemists."
"Covenant Adjudicator War Hammer","Rare","5","525","item","weapon","A well made war hammer for Covenant Adjudicators."
"Marauder Commander Rapier","Rare","5","525","item","weapon","A well made rapier for Marauder Commanders."
"Syndicate Alchemist Rapier","Rare","5","525","item","weapon","A well made rapier for Syndicate Alchemists."
"Covenant Adjudicator Rapier","Rare","5","525","item","weapon","A well made rapier for Covenant Adjudicators."
"Marauder Commander Spear","Rare","5","525","item","weapon","A well made spear for Marauder Commanders."
"Syndicate Alchemist Spear","Rare","5","525","item","weapon","A well made spear for Syndicate Alchemists."
"Covenant Adjudicator Spear","Rare","5","525","item","weapon","A well made spear for Covenant Adjudicators."
"Marauder Commander Round Shield","Uncommon","5","525","item","weapon","A well made shield for Marauder Commanders."
"Marauder Commander Kite Shield","Uncommon","5","525","item","weapon","A well made shield for Marauder Commanders."
"Marauder Commander Tower Shield","Uncommon","5","525","item","weapon","A well made shield for Marauder Commanders."
"Syndicate Alchemist Round Shield","Uncommon","5","525","item","weapon","A well made shield for Syndicate Alchemists."
"Syndicate Alchemist Kite Shield","Uncommon","5","525","item","weapon","A well made shield for Syndicate Alchemists."
"Syndicate Alchemist Tower Shield","Uncommon","5","525","item","weapon","A well made shield for Syndicate Alchemists."
"Covenant Adjudicator Round Shield","Uncommon","5","525","item","weapon","A well made shield for Covenant Adjudicators."
"Covenant Adjudicator Kite Shield","Uncommon","5","525","item","weapon","A well made shield for Covenant Adjudicators."
"Covenant Adjudicator Tower Shield","Uncommon","5","525","item","weapon","A well made shield for Covenant Adjudicators."
"Marauder Commander Ice Gauntlet","Rare","5","525","item","weapon","A well made ice gauntlet for Marauder Commanders."
"Syndicate Alchemist Ice Gauntlet","Rare","5","525","item","weapon","A well made ice gauntlet for Syndicate Alchemists."
"Covenant Adjudicator Ice Gauntlet","Rare","5","525","item","weapon","A well made ice gauntlet for Covenant Adjudicators."
"Forsaken Helm","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Coat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Shoes","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Defiled Helm","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Leather Hat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Leather Coat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Leather Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Leather Pants","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Leather Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Cloth Hat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Cloth Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Cloth Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Cloth Pants","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Defiled Cloth Shoes","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Ancient Helm","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Boots","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Leather Hat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Leather Coat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Leather Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Leather Pants","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Leather Boots","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Cloth Hat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Cloth Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Cloth Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Cloth Pants","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Ancient Cloth Shoes","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Primeval Helm","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Boots","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Leather Hat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Leather Coat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Leather Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Leather Pants","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Leather Boots","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Cloth Hat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Cloth Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Cloth Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Cloth Pants","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Primeval Cloth Shoes","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Forsaken Helm","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Coat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Leather Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forsaken Cloth Shoes","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Helm","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Coat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Hat","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Pants","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Forgotten Boots","","5","","item","armor","A piece of armor that has been in the possession of the Lost for some time."
"Profane Helm","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Hat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Coat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Pants","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Hat","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Pants","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Profane Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Helm","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Boots","","5","","item","armor","A piece of armor that has been in the possession of the Corrupted for some time."
"Archaic Hat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Coat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Pants","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Boots","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Hat","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Pants","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Archaic Boots","","5","","item","armor","A piece of armor that has been in the possession of the Ancients for some time."
"Tainted Helm","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Breastplate","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Gauntlets","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Greaves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Boots","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Hat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Coat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Pants","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Boots","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Hat","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Shirt","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Gloves","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Pants","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Tainted Boots","","5","","item","armor","A piece of armor that has been in the possession of the Angry Earth for some time."
"Crimson Vow","Epic","5","525","item","weapon","""As you wrap your blade in this crimson cloth, give thanks for all It has given. The Power to conquer. The True Sight to believe. And the Will to march forth."""
"Eternal Servitude","Rare","5","525","item","weapon","""With this blade, we grant you the power and life to rise again forever more."""
"Masterstroke","Rare","5","525","item","weapon","""For years the smith honed her craft. At long last, she succeeded. The perfect blade."""
"Marauder Commander Helm of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Marauders."
"Marauder Commander Breastplate of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Marauders."
"Marauder Commander Gauntlets of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Marauders."
"Marauder Commander Legguards of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Marauders."
"Marauder Commander Boots of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Marauders."
"Covenant Adjudicator Helm of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Covenant."
"Covenant Adjudicator Breastplate of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Covenant."
"Covenant Adjudicator Gauntlets of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Covenant."
"Covenant Adjudicator Legguards of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Covenant."
"Covenant Adjudicator Boots of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Covenant."
"Syndicate Alchemist Helm of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Syndicate."
"Syndicate Alchemist Breastplate of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Syndicate."
"Syndicate Alchemist Gauntlets of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Syndicate."
"Syndicate Alchemist Legguards of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Syndicate."
"Syndicate Alchemist Boots of the Barbarian","Rare","5","520","item","armor","Heavy armor made for members of the Syndicate."
"Marauder Commander Headwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Marauders."
"Marauder Commander Jacket of the Priest","Rare","5","520","item","armor","Light armor made for members of the Marauders."
"Marauder Commander Handcovers of the Priest","Rare","5","520","item","armor","Light armor made for members of the Marauders."
"Marauder Commander Leggings of the Priest","Rare","5","520","item","armor","Light armor made for members of the Marauders."
"Marauder Commander Footwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Marauders."
"Covenant Adjudicator Headwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Covenant."
"Covenant Adjudicator Jacket of the Priest","Rare","5","520","item","armor","Light armor made for members of the Covenant."
"Covenant Adjudicator Handcovers of the Priest","Rare","5","520","item","armor","Light armor made for members of the Covenant."
"Covenant Adjudicator Leggings of the Priest","Rare","5","520","item","armor","Light armor made for members of the Covenant."
"Covenant Adjudicator Footwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Covenant."
"Syndicate Alchemist Headwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Syndicate."
"Syndicate Alchemist Jacket of the Priest","Rare","5","520","item","armor","Light armor made for members of the Syndicate."
"Syndicate Alchemist Handcovers of the Priest","Rare","5","520","item","armor","Light armor made for members of the Syndicate."
"Syndicate Alchemist Leggings of the Priest","Rare","5","520","item","armor","Light armor made for members of the Syndicate."
"Syndicate Alchemist Footwear of the Priest","Rare","5","520","item","armor","Light armor made for members of the Syndicate."
