"Company","2021 Franchise 500 Rank","Initial investment","Units as of 2021","Industry","Related Categories","Founded","Parent Company","Leadership","Ticker Symbol","Franchising Since","# of employees at HQ","# of Units","Social","Corporate Address","Initial Franchise Fee","Initial Investment","Net Worth Requirement","Cash Requirement","Royalty Fee","Ad Royalty Fee","Term of Agreement","Is franchise term renewable?","Third Party Financing","On-The-Job Training","Classroom Training","Additional Training","Ongoing Support","Marketing Support","Is absentee ownership allowed?","Can this franchise be run from home/mobile unit?","Can this franchise be run part time?","Are exclusive territories available?"
"Pearle Vision","#32--Ranked #58 last year","$70K - $650K","562--6.0% over 3 years","Health","Eye Care, Miscellaneous Health Products, Miscellaneous Health Services","1961","Luxottica","Alex Wilkes, SVP & GM","ESLOF","1980  (41 years)","67","562 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","4000 Luxottica Pl.Mason, OH 45040","$30,000","$70,195 - $650,089","$300,000","$100,000","7%","8%","10 years (co-terminus w/lease)","Yes","Pearle Vision has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","160 hours","85 hours","Webinars","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Mathnasium","#31--Ranked #29 last year","$113K - $149K","1,082--15.5% over 3 years","Children's Businesses","Tutoring, Miscellaneous Children's Businesses","2002","Mathnasium","Shant Assarian, CEO","","2003  (18 years)","96","1,082 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube","5120 W. Goldleaf Cir., #400Los Angeles, CA 90056","$49,000","$112,750 - $149,110","$149,110","$112,750","10%+","2%+","5 years","Yes","Mathnasium has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","35 hours","37 hours","Ongoing training","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing","No","No","No","Yes"
"Anago Cleaning Systems","#33--Ranked #38 last year","$11K - $68K","1,719--13.5% over 3 years","Maintenance","Commercial Cleaning, Miscellaneous Maintenance Businesses, Cleaning/Restoration","1989","Anago Cleaning Systems","Adam Povlitz, CEO & President","","1991  (30 years)","50","1,719 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","20 S.W. 27th Ave., #300Pompano Beach, FL 333069","$5,015 - $31,000","$11,265 - $68,250","$5,015 - $31,000","$1,000 - $23,500","10%","2%","10 years","Yes","Anago Cleaning Systems has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","24 hours","56 hours","At regional offices","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Online Support/Security & Safety Procedures/Field Operations","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","Yes","Yes","No"
"Freddy's Frozen Custard & Steakburgers","#34--Ranked #67 last year","$761K - $2.1M","406--30.5% over 3 years","Food","Frozen Custard, Ices, Hamburgers, Ice Cream","2002","","Chris Dull, President & CEO","","2004  (17 years)","99","406 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","260 N. Rock Rd., #200Wichita, KS 67206","$30,000","$760,752 - $2,077,046","$850,000","$250,000 - $800,000","4.5%","0.375%","15 years","Yes","","348 hours","67 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Cinnabon","#35--Ranked #53 last year","$112K - $476K","1,768--16.9% over 3 years","Food","Cinnamon Rolls, Baked Goods","1985","Focus Brands LLC","Kendall Ware, Chief Brand Officer","","1986  (35 years)","31","1,768 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","5620 Glenridge Dr. N.E.Atlanta, GA 30342","$5,500 - $30,500","$112,000 - $475,700","$300,000 - $580,000","$120,000 - $260,000","6%","1.5%","20 years","Yes","Cinnabon has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","36 hours","20 hours","Additional training annually","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"HomeVestors of America","#36--Ranked #19 last year","$72K - $431K","1,154--17.8% over 3 years","Services (Other)","Real Estate","1996","HVA Equity LLC","David Hicks, CEO","","1996  (25 years)","37","1,154 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","6500 Greenville Ave., #400Dallas, TX 75206","$34,000 - $75,000","$72,000 - $431,250","$72,000 - $431,250","$72,000","Varies","Varies","5 years","Yes","HomeVestors of America has relationships with third-party sources which offer financing to cover the following: inventory","10 hours","40 hours","Online training","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Online Support/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","Yes","Yes","No"
"Cruise Planners","#37--Ranked #46 last year","$2K - $24K","2,659--3.7% over 3 years","Recreation","Travel Agencies","1994","CP Franchising LLC","Michelle Fee, CEO","","1999  (22 years)","100","2,659 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube","3111 N. University Dr., #800Coral Springs, FL 33065","$695 - $10,995","$2,295 - $23,665","","","1.5-3%","","3 years","Yes","Cruise Planners has relationships with third-party sources which offer financing to cover the following: franchise fee","","66 hours","Training available","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","Yes","Yes","No"
"Baskin-Robbins","#38--Ranked #13 last year","$91K - $625K","7,752--3.2% over 3 years","Food","Ice Cream, Ices, Frozen Yogurt","1945","Inspire Brands","Paul Brown, CEO","","1948  (73 years)","1,104","7,752 (as of 2021)","Facebook, Twitter, Instagram","130 Royall St.Canton, MA 02021","$12,500 - $25,000","$90,985 - $625,185","$250,000","$125,000","5.9%","5%","20 years","Yes","Baskin-Robbins has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","35-40 hours","85-90 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Profile by Sanford","#39--Ranked #64 last year","$404K - $693K","119--128.8% over 3 years","Health","Weight-Loss Services, Miscellaneous Health Services","2012","Sanford Health","Nate Malloy, CEO","","2014  (7 years)","65","119 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","101 S. Reid St., #204Sioux Falls, SD 57103","$49,500","$404,000 - $693,000","$1,250,000","$125,000","5%","2%","10 years","Yes","Profile by Sanford has relationships with third-party sources which offer financing to cover the following: startup costs, equipment, inventory, accounts receivable, payroll","386 hours","94 hours","15 hours annually","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Realty One Group","#40--Ranked #92 last year","$44K - $225K","284--136.7% over 3 years","Services (Other)","Real Estate","2005","Realty One Group Inc.","Kuba Jewgieniew, CEO & Founder","","2012  (9 years)","158","284 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","10750 W. Charleston Blvd., #180Las Vegas, NV 89135","$15,000 - $22,000","$44,250 - $224,500","","","","2%","10 years","Yes","","144 hours","28 hours","Affiliate coaching program, ongoing regional and virtual workshops","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"F45 Training","#41--Ranked #68 last year","$313K - $485K","1,555--94.9% over 3 years","Personal-Care Businesses","Fitness","2011","F45 Training","Adam Gilchrist, CEO","FXLV","2013  (8 years)","122","1,555 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","801 Barton Springs Rd., 9th Fl.Austin, TX 78704","$50,000","$313,200 - $485,100","","$100,000","$2.5K+/mo.","$200+/mo.","5-15 years","Yes","F45 Training has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","10 hours","64 hours","","Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Dairy Queen","#42--Ranked #16 last year","$1.2M - $1.9M","7,087--3.2% over 3 years","Food","Ice Cream, Ices","1940","IDQ Inc.","Jim Kerr, EVP, Franchise Development","","1940  (81 years)","404","7,087 (as of 2021)","Facebook, Twitter, Instagram","8000 Tower, #700, 8331 Norman Center Dr.Bloomington, MN 55437","$45,000","$1,151,155 - $1,936,655","$750,000","$400,000","4%","5-6%","20 years","Yes","Dairy Queen has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","245 hours","32 hours","At existing DQ store","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"Home2 Suites by Hilton","#43--Ranked #113 last year","$12M - $18.1M","494--108.4% over 3 years","Lodging","Hotels & Motels","2008","Hilton","Christopher Nassetta, CEO","HLT","2009  (12 years)","7,332","494 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","7930 Jones Branch Dr., #1100McLean, VA 22102","$75,000","$12,046,795 - $18,053,368","","","5%","3.5%","22 years","Yes","Home2 Suites by Hilton has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","1 hour","177-197 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Arby's","#45--Ranked #25 last year","$629K - $2.3M","3,540--3.2% over 3 years","Food","Miscellaneous Sandwiches, Sandwiches","1964","Inspire Brands","Jim Taylor, President","","1965  (56 years)","3,000","3,540 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram","3 Glenlake Pkwy. N.E.Atlanta, GA 30328","$12,500 - $50,000","$628,950 - $2,306,000","$1,000,000","$500,000","4%","4.2%","Up to 20 years","Yes","Arby's has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","336 hours","","At certified training restaurant","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"FastSigns","#44--Ranked #55 last year","$234K - $307K","756--10.7% over 3 years","Business Services","Signs","1985","Propelled Brands","Catherine Monson, CEO","","1986  (35 years)","115","756 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube","2542 Highlander Wy., #100Carrollton, TX 75006","$49,750","$233,555 - $307,308","$300,000","$80,000","6%","2%","10 years","Yes","FastSigns has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","45 hours","90 hours","Ongoing visits, regional & annual convention, web seminars","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing","No","No","No","Yes"
"ServiceMaster Clean/ServiceMaster Restore","#46--Ranked #77 last year","$81K - $304K","4,975--1.3% over 3 years","Maintenance","Commercial Cleaning, Home Repairs/Handyman Services, Miscellaneous Maintenance Businesses, Cleaning/Restoration","1947","The ServiceMaster Co. LLC","Dustin Tremellen, Head of Franchising","","1952  (69 years)","571","4,975 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube","1 Glenlake Pkwy. N.E., #1400Atlanta, GA 30328","$32,500 - $72,500","$81,320 - $303,810","$100,000 - $200,000","$35,000 - $102,700","4-10%","0.5-1%","5 years","Yes","","Up to 37 hours","35.5-113 hours","Annual convention and regional seminars","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"McAlister's Deli","#47--Ranked #72 last year","$876K - $2.1M","491--14.7% over 3 years","Food","Miscellaneous Sandwiches, Sandwiches","1989","Focus Brands","Joe Guith, President","","1994  (27 years)","28","491 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","5620 Glenridge Dr.Atlanta, GA 30342","$35,500","$875,900 - $2,112,650","$1,000,000 - $1,900,000","$425,000 - $930,000","5%","2%","20 years","Yes","McAlister's Deli has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","210 hours","40 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"European Wax Center","#49--Ranked #56 last year","$358K - $572K","808--13.8% over 3 years","Personal-Care Businesses","Waxing, Miscellaneous Personal-Care Businesses","2004","","David Berg, CEO","EWCZ","2006  (15 years)","131","808 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","5830 Granite Pkwy.Plano, TX 75024","$45,000","$358,485 - $571,840","$1,000,000","$500,000","6%","3%","10 years","Yes","European Wax Center has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","124 hours","35 hours","","Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Snap-on Tools","#48--Ranked #31 last year","$169K - $382K","4,769--1.3% over 3 years","Retail","Tools Distribution, Miscellaneous Retail Businesses, Miscellaneous Automotive Products & Services, Automotive","1920","Snap-on Inc.","Nick Pinchuk, Chairman, President & CEO","SNA","1991  (30 years)","1,414","4,769 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2801 80th St.Kenosha, WI 53143","$8,000 - $16,000","$169,223 - $382,235","$37,583 - $55,545","$37,583 - $55,545","$130/mo.","","10 years","Yes","Snap-on Tools has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","135 hours","86 hours","","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","Yes","No","No"
"Matco Tools","#50--Ranked #32 last year","$77K - $276K","1,895--5.7% over 3 years","Retail","Tools Distribution, Miscellaneous Retail Businesses, Miscellaneous Automotive Products & Services, Automotive","1979","Vontier","Timothy Gilmore, President","VNT","1993  (28 years)","340","1,895 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","4403 Allen Rd.Stow, OH 44224","$5,600 - $8,000","$76,634 - $275,540","$25,000","$5,000 - $13,500","","","10 years","Yes","Matco Tools has relationships with third-party sources which offer financing to cover the following: equipment","80 hours","90 hours","District meetings","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","Yes","No","Yes"
