address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
5928 208 Street,Edmonton,T6M 0M1,The Hamptons,AB,4,3,2,1,"$599,900",5898.83,2450,2010,10/8/2021,"Absolutely stunning 4 bedroom home on a huge lot tucked away on a quiet cul-de-sac in The Hamptons. Loaded w/ high-end finishings: Central AC, Hunter Douglas blinds, 2 gas fireplaces, hardwood flooring, coffered ceilings, crown moulding and more. Chefs dream kitchen featuring ceiling height cabinets, stainless steel appliances, walk-in pantry and massive island with bar. 4 bedrooms upstairs including the exceptional primary bedroom which features vaulted ceilings, large walk-in closet & spa like ensuite with lux soaker tub and standup shower. Bonus room offers a perfect space for movie nights by the fireplace. The backyard is absolutely spectacular and offers outdoor living at its very best. Impressive landscaping, deck, gazebo, plating boxes and swim spa. Enjoy the convenience of your double attached garage and ample street parking. Walking distance to walking trails and ponds."
7325 Singer Way,Edmonton,T6R 3R9,South Terwillegar,AB,4,3,3,-1,"$434,800",4251.42,1363,2005,10/8/2021,"Welcome to South Terwillegar with this 1362 sq ft bi level home! Offering 2 + 2 bedrooms, 3 baths, FULLY FINISHED BASEMENT & double attached garage. As you enter you will be impressed with the open concept this home has to offer. The formal living room is open & bright with vaulted ceilings! Leading into the beautiful kitchen featuring plenty of cabinetry, breakfast island and corner pantry. Access the door leading to the deck and landscaped backyard off the dining area. The adjacent family room offers corner tile surround gas fireplace and more vaulted ceilings! To complete the main floor is 1 bedroom & full 4 pce bath. The staircase leads you to the gorgeous master bedroom with full 4 pce ensuite & walk in closet. The FULLY FINISHED basement holds large rec space, 2 bedrooms, 4 pce bath, laundry & TONS of storage! Extras include water softener, water purifier and instant hot water in kitchen & natural gas BBQ hook up! Wonderful location in quiet neighbourhood, yet close to all amenities!"
3312 42A Street,Edmonton,T6L 5W2,Bisset,AB,4,2,2,-1,"$369,000",5397.99,1157,1987,10/8/2021,"Immaculate Home! This beautiful 4 bedrooms 2 full bathroom home offers open concept floor plan with tons of natural light. Features of this home includes granite counters, stainless steel appliances, stylish white kitchen cabinets, tile backsplash, dark hardwood floors, bathroom upgrades, central A/C and a huge private backyard with spacious deck. Located on a quite street, this home is located close to elementary schools, Bisset Park, public transit system and shopping centres. This home is a must see to fully appreciate!"
8945 94 Avenue,Fort Saskatchewan,T8L 1B3,Pineview Fort Sask.,AB,3,2,2,-1,"$319,900",6599.99,960,1971,10/8/2021,"Attention to detail with loads of upgrades that now include a brand new fridge, stove, furnace and hot water tank! If you're looking for move in ready with nothing to do but enjoy the family friendly, mature neighbourhood that's within walking distance to schools and amenities, this is it!"
16711 98 Avenue,Edmonton,T5P 0G9,Glenwood (Edmonton),AB,3,2,2,-1,"$380,000",6362.97,1136,1969,10/8/2021,"Beautiful Bi-level offers great combination of updates, character, & flexibility. Walking distance to schools, this home fronts a quiet street but has unique SIDE lane & REAR lane access. Lower level (via 2 staircases) is ideal for home business or live-in family member because there is a family room, super-large 3rd bedroom (or 2nd living space) + 2nd kitchen space or workshop. Separate back entrance. This home is immaculate, bright & warm, with sunny south backyard & added insulation.  Many improvements make it move-in ready like: XL Primary bedroom created from 2 former bedrooms, updated bathrooms & kitchen. Expanded kitchen now offers open-concept functionality. Outside find several zones/exposures for gardening, patio time, & tinkering in the double heated garage with 220 wiring. RV Parking x2, or total parking for 6 vehicles! Fully fenced & gated yard features landscaping  & underground sprinkler.  BONUS: Windows, mechanical, siding & roof have been replaced over the years! What a well-timed find!"
 Address Withheld,Edmonton,T6J 6S2,Twin Brooks,AB,4,3,3,-1,"$489,900",6584.92,1739,1990,10/8/2021,"Welcome home to this Immaculate Carriage Custom Built Bungalow located on a beautifully treed, quiet street in Twin Brooks. As you enter the front door, you'll be in awe with this impeccably maintained home. There is plenty of room to host family get togethers in the LARGE DINING ROOM and formal front living room. The kitchen features VAULTED CEILINGS, large PANTRY and overlooking the quaint family room with GAS FIREPLACE. Patio doors lead to the extended OUTDOOR LIVING SPACE, which features covered and uncovered patios. The south facing backyard is right out of the  Home and Garden's  Magazine and can be your own private retreat. The basement is fully finished with another family room, games room, wet bar, 3 pc bathroom, Den and Two more HUGE BEDROOMS. All this plus a newer furnace and HWT. Act quickly, as this beautiful bungalow won't last long."
6012 97A Avenue,Edmonton,T6B 1E3,Ottewell,AB,5,3,2,1,"$375,000",6414.64,1227,1961,10/8/2021,"This well maintained property located in the sought after central community of Ottewell offers a fantastic opportunity to buyers of all kinds! If you're looking for a revenue property, a house to renovate and resell, or a chance to build some sweat equity, this house has you covered thanks to its strong bones and location.  Public transportation, reputable schools, shopping, and many parks/playgrounds are a short walk away. You're also within a 5 minute drive from the river valley parks of Gold Bar & Capilano.  The house is a 1232 square foot bungalow with 5 bedrooms.  The main floor is bright and features a dining room, living room, master bedroom with a 2-peice ensuite (a rare feature in this area), 2 additional well sized bedrooms and a full bathroom. The finished basement has a 3 piece bathroom, 2 bedrooms, large rec room, and laundry room. Outside there is a double garage with gas furnace and fenced yard with mature trees. Don't let this opportunity pass you by! Available with immediate possession!"
11606 87 Street,Edmonton,T5B 3M5,Parkdale (Edmonton),AB,2,2,1,1,"$168,250",5371.19,735,1927,10/8/2021,"Lovely character home on a beautiful tree lined street. This charming 2 bedroom home has 2 bedrooms, a full 4 piece bathroom with a claw-foot tub, clean white kitchen, large multi-level deck, and oversized single car garage in the back as well as raised garden beds. The original trim, crown moldings and floors have remained untouched, and some of the windows have been upgraded. The yard has all the bones of exquisite landscaping just waiting for new life to uncover it!"
2712 202 Street,Edmonton,T6M 0W7,The Uplands,AB,4,4,3,1,"$750,000",4157.45,2555,2017,10/8/2021,"Get into a Coventry Showhome today! This stunning home has all the upgrades; Landscaping, Security, A/C, 9' Ceilings, Quartz throughout, engineered hardwood and tile flooring! A designer kitchen with S/S Appliances, gas range, tile backsplash, large centre island and walk through panty make this kitchen perfect for entertaining. Adjacent to the kitchen are a large dining area and family room with gas fireplace. Wrapping up the main floor is a half bathroom. Iron spindle railings lead you to the 2nd floor where you will find the Owner's suite equipped with a 5 pc ensuite that includes double vanities, soaker tub, stand up shower and walk in closet. Finishing off the 2nd level are 2 more bedrooms, 5 pc bath and large bonus room. The fully finished basement comes with a 4th bedroom, 3 pc bath and large family room. In addition to the care & attention that goes into every Coventry Home, all homes are covered by Alberta New Home Warranty"
8623 160 Avenue,Edmonton,T5Z 3H9,Belle Rive,AB,3,2,2,-1,"$474,900",5376.78,1690,2000,10/8/2021,"Stunning Bi-Level in the Desirable Belle Rive is what you've been looking for! Features total of 3 Bedrooms and 2 Bathrooms & Double attached Garage. Main floor greets you with High Vaulted Ceiling/Open Concept layout Living room with Large & Bright Windows adjacent to Formal Dining area with Hardwood and Tile floorings throughout. Spacious Kitchen has Plenty of Kitchen Cabinets, and Gorgeous Granite. Family room with Cozy Fireplace/TV Niche & Gorgeous Pillars. Breakfast nook with Patio Door to Deck & Landscaped Fenced Yard. 2 Sizable Bedrooms & 4pc Bathroom. Upper floor boasts Oversized Master Bedroom with Walk-in Closet & 5pc En-suite with a Shower & Jacuzzi. Open Staircase to the Basement comes with 9 Foot Ceilings awaiting your finishing touch's & Utility room with lots of Storage in Crawl Space. Stucco Exterior! Great location w Easy access to School/Bus Route/Park/Shopping & all amenities."
# 2 480004 RR 271,Rural Wetaskiwin County,A9A 9A9,Curilane Beach,NL,3,2,1,1,"$839,000",-1.0,1515,2004,10/8/2021,"STUNNING IMMPECCABLE A-Frame LOG home on the lake! Open concept with gorgeous view of lake, country style kitchen, gleeming quartz countertops, corner gas fireplace, spacious living room with endless views, 3 bedrooms with HUGE master loft-style! Gorgeous hardwood floors, 3/4 covered wrap-around composite deck allows for stunning views, opens from living room with french doors. The over-sized 30'x29' heated garage is complete with upper living quarters & 2pc bathroom so your guests can also enjoy! New timber-frame restoration done on both home and garage, NO maintenance! Gorgeous yard/lake front with dock, boat launch a few steps away, well manicured & fenced yard, truly an all year long dream home! Features include: ICF, crawl-space nicely done /w all concrete, 2000 gal septic tank, 120v sump in basement /w emergency backup, complete restoration done June 2021, gas fireplace, hot water on demand, metal roof, hot/cold water in garage, fenced yard, tons of storage, this is a MUST see!"
 Address Withheld,St. Albert,T8N 7S8,Riverside (St. Albert),AB,3,3,2,1,"$531,300",-1.0,1893,2021,10/8/2021,"Presenting: The Christina by San Rufo! This 1,893 square foot 2-storey has the highly sought-after great room open concept, plus an UPSTAIRS BONUS ROOM and upstairs laundry! Off the foyer you'll find a mudroom and 2-piece guest bath. The island kitchen boasts quartz counters and offers a spacious corner pantry. From the dining area, you can access the backyard through patio doors. The living area features a large east-facing window and a gas fireplace! Upstairs opens up into the bonus room, with two generous bedrooms and the 4-piece main bath towards the back, and the spacious master bedroom with 4-PIECE ENSUITE and separate WALK-IN CLOSET! And don't forget the convenient upstairs laundry! There's also an attached double garage - no more brushing snow off your car during the long Alberta winters! All located in Riverside, nestled in nature with walking paths, lakes, and the Sturgeon River, plus easy access to Ray Gibbons Drive and the Henday for an easy commute! *Photos are of showhome!*"
9804 155 Avenue,Edmonton,T5X 4G5,Beaumaris,AB,5,4,3,1,"$459,000",9594.94,2310,1979,10/8/2021,"Impressive 9600 square foot lot located in Beaumaris! This 2300 sq.ft. 2 storey offers 4 bedrooms on the second floor & 4 bathrooms throughout the house. The upstairs balcony is the width of the house and leads to a large loft overlooks the living room. The home comes featured with vaulted ceilings. Spacious dining and living room on the main floor. This home also features a family room with wood burning fireplace. Temporary partial demising wall separating living/dining is easily removable. Second floor features the master bedroom with 3 piece ensuite. The remaining 3 spacious bedrooms are also located on the second floor. The basement is fully developed with a second family room, 5th bedroom, and 4th bathroom. Upgraded features of this property include new windows on the second floor and basement, newer hardwood flooring, and granite tops. Garage includes a garage heater."
3828 Whitelaw Place,Edmonton,T6W 0V9,Windermere,AB,3,3,2,1,"$359,000",-1.0,1284,2011,10/8/2021,"This BETTER THAN NEW 2 storey duplex, located in a quiet CUL-DE-SAC --- Windermere neighbourhood. Main floor features open kitchen layout with modern design cabinets with raised eating bar and GRANITE counter top, Looking over the eating area and living room with fireplace. HARDWOOD and TITLE flooring throughout main floor. Upper floor offering 3 nice sized bedrooms. Master room has W.I.C. with 4 piece en-suite. Also two good sized bedrooms with other 4 piece full bath plus upper floor laundry. Basement is waiting for development. Many up-grades for this property: extra windows, up-graded full kitchen cabinets, HUNTER DOUGLAS window coverings, HE appliances with front loaded washer & dryer. Up graded ceiling paint and lots of POT LIGHT. central AIR-CONDITIONER. Composite deck with aluminum railing. Walking distance to PARK, SCHOOLS, PUBLIC TRANSIT, SHOPPING and all amenities. Easy access to ANTHONY HENDAY and WHITEMUD freeway."
 Address Withheld,Edmonton,T5S 0L9,Hawks Ridge,AB,3,3,2,1,"$424,900",2877.19,1567,2021,10/8/2021,"Welcome to this popular duplex model Newport I by award winning builder BLACKSTONE HOMES with 18 ft ceiling in the great room with leaner fireplace and separate entrance. This amazing duplex floor plan will give you a single family home feel with the open concept plan. Main floor offers much needed den, perfect for work from home, mudroom with walk through pantry leading to huge kitchen with up to the ceiling cabinetry & large island. Great room offer rare to find open to below ceiling with beautiful railing. 2nd floor offers 3 good size bedrooms & 2 full bathrooms. Master bedroom is huge with beautiful ensuite offering double sinks, standing shower, walk in closet. Other features are: 9' main & basement ceilings, up to the ceiling kitchen, huge island, soft closing cabinets, upgraded flooring, lighting & plumbing package, Quartz in kitchen & bathrooms, MDF shelving, railing with spindles, coffered ceiling in the dining area, separate entrance, New Home Warranty & double attached garage."
 Address Withheld,Fort Saskatchewan,T8L 0E8,South Fort,AB,3,3,2,1,"$299,900",2886.99,1206,2012,10/8/2021,"Welcome to the lovely community of South Fort. This half-duplex sits nestled in a quite cul de sac backing on to green space and a playground. The 1100+ square foot property has it all. The main floor features an open concept living room and kitchen with s/s appliances, large island and wrap around countertops. Corner fireplace perfect for a wall mounted TV. Tons of natural light through the massive windows. The main floor also features 1/2 bath and ample closest space. The upper floor has 2 generous size bedrooms, 4 pc bath and huge naturally lit master bedroom, walk-in closest and 3/pc ensuite. The basement is unfinished and perfect for an extra bedroom, bathroom and large living room. Beautiful large back yard with a freshly stained deck, perfect for those summer evenings."
6508 106 Avenue,Edmonton,T6A 1G9,Capilano,AB,4,2,2,-1,"$488,800",-1.0,1109,1956,10/8/2021,"Opportunity knocks in the established community of CAPILANO! This stunning 3+1 Bedroom bungalow with a FINISHED basement sits on a HUGE 60 x 140 lot, and you can lease the adjacent City right of way (20 x 140). This home has been EXTENSIVELY upgraded and is highlighted by a BRIGHT living room, everyday dining room, open kitchen with stone countertops, 4-Piece tiled bath + heated floors, and sleek hardwood flooring throughout. Downstairs, you'll find a large family room with well-maintained carpet, another 4-Piece bath, and spacious laundry room with storage. Other features include NEW shingles, deck railings, NEWER triple pane windows, high-efficiency furnace, siding, insulation, central vac, and front irrigation system. The HUGE backyard offers plenty of green space, an elevated deck, stone patio, hot tub, and double detached garage + parking pad. With quick access to the Wayne Gretzky freeway, you are minutes from Downtown & Whyte Ave...and merely steps from our BREATHTAKING river valley. Welcome Home!"
3824 57 Street,Edmonton,T6L 1W1,Greenview (Edmonton),AB,3,3,3,-1,"$398,000",-1.0,1441,1978,10/8/2021,"This excellent, over 1400 sq ft, family home is located near schools, parks and public transportation.  Three bedrooms up as well as 3 bathrooms, can accommodate a growing family. Basement is fully finished with a recreation room and two extra multi purpose rooms. Gleaming hardwood floors and plenty of windows on the main, make this a warm and welcoming place to call home.   Everyone will enjoy the newer oak cabinets and large pantry cupboard in the kitchen.  You could relax in the main floor family room, watch the hockey game in the lower rec. room or sit around the barbecue pit in the west facing backyard and watch the sun go down.  The oversized double garage has plenty of room for two cars, bikes, balls and much needed extra storage.  RMS measurements by 3DR.Tours"
 Address Withheld,Edmonton,T5D 0L9,Hawks Ridge,AB,3,3,2,1,"$424,900",-1.0,1567,2021,10/8/2021,"Welcome to this popular duplex model Newport I by award winning builder BLACKSTONE HOMES with 18 ft ceiling in the great room with leaner fireplace and separate entrance. This amazing duplex floor plan will give you a single family home feel with the open concept plan. Main floor offers much needed den, perfect for work from home, mudroom with walk through pantry leading to huge kitchen with up to the ceiling cabinetry & large island. Great room offer rare to find open to below ceiling with beautiful railing. 2nd floor offers 3 good size bedrooms & 2 full bathrooms. Master bedroom is huge with beautiful ensuite offering double sinks, standing shower, walk in closet. Other features are: 9' main & basement ceilings, up to the ceiling kitchen, huge island, soft closing cabinets, upgraded flooring, lighting & plumbing package, Quartz in kitchen & bathrooms, MDF shelving, railing with spindles, coffered ceiling in the dining area, separate entrance, New Home Warranty & double attached garage."
253 53347 Rge Rd 215,Rural Strathcona County,T8E 2B2,Brookville Estates,AB,3,3,2,1,"$564,900",-1.0,1752,1999,10/8/2021,"Upgraded gem in a super private treed location. Recent metal roof. Upgraded windows. Large living room with upgraded flooring. Spacious kitchen, also with newer flooring. Pantry. Good sized eating area. Office. Spacious master bedroom with 3 piece ensuite and walk in closet. Good sized bedroom 2. 4 piece bath. Lower level has family room with gas fireplace, bedroom 3, 2 piece, laundry. 4th level full and open. Air conditioned. Oversized double garage plus carport joining house to garage. Nice landscaping. Nice deck off kitchen. Very private treed location. Just move in and enjoy."
12432 96 Street,Edmonton,T5G 1W7,Delton,AB,6,2,2,-1,"$299,888",7456.05,1274,1955,10/8/2021,"\u0022RF3 1274Sq.Ft RAISED BUNGALOW W/A NEWER ROOF ON A PIE LOT W/STUCCO EXTERIOR, 22x20 DOUBLE DET. GARAGE, + A GATED RV/TOY PARKING IN THE BACKYARD ON A QUIET KEYHOLE CRESCENT!\u0022...With 6Bdrms/2Full Baths, 2 KITCHENS w/well over 2450Sq.Ft of Living Space w/a Separate Rear Entrance & Common Laundry area in the basement! The main floor has a oversized Living Room with Cove Ceilings, GAS FIREPLACE, Sep. Dining Room & A Bright Kitchen. NEW CARPET in The Lg Primary Bdrm with plenty of space for a King Size Bed. The 2nd & 3rd Bdrm located between the full 5Pc Bathroom. The F/F Basement has a 2nd KITCHEN w/a Separate Dining Room for 6+Guests, + ALL NEW CARPET IN THE 3 Lg BEDROOMS One w/a Full 4Pc ENSUITE & CORNER WET BAR! The Massive PIE LOT Backyard has a Private 6Ft Fence, RV GATE, 2 Sheds & Attached Storage Room on the Garage! Great location with quick access to Yellowhead & Just a 10min Drive to Downtown. And walking distance to K-9 Schools. Come see this Beauty as you will be pleasantly surprised!..."
5718 50 Street,Vegreville,T9C 1H7,Vegreville,AB,4,1,1,-1,"$179,250",8670.64,960,1960,10/8/2021,"UPGRADED/MOVE IN READY/PRICED TO SELL!!!  This 3 + 1 bedroom - 960 sq' home has undergone renovations & upgrades in recent years: shingles, eavestroughs, fencing, 14x14 deck, some windows, front exterior door, bathroom upgrade with a jacuzzi tub, added attic insulation, furnace, hot water tank, new sump pump and inside weeping tile, carpets, painting, light switches, plug ins, some light fixtures. All of this AND a large lot with back gate to bring in your trailer as well as a single detached garage and front car port.  Plenty of room for any family to call home."
547 Meadowview Drive,Fort Saskatchewan,T8L 0X1,Westpark_Fsas,AB,3,3,2,1,"$649,900",5656.97,2594,2021,10/8/2021,"AMAZING! STUNNING HOME! WITH SEPARATE ENTRANCE to basement. This 2 Storey Triple Attached garage home boasts 3 Bdrms, 2.5 Baths, DEN & BONUS Rm! The OPEN CONCEPT main floor features chef's dream kitchen & WALK-THROUGH PANTRY; huge Dining Area overlooking DOUBLE-SIZE DECK. Living Rm w/OPEN-TO-ABOVE ceiling, electric FIREPLACE, DEN/OFFICE, & 2pc Bath. LUXURIOUS MASTER Bdrm with VAULTED CEILING, 5pc ENSUITE BATH & WALK-IN CLOSET leading to UPSTAIRS LAUNDRY. Bright BONUS Rm, 2 more Bdrms & 4pc Bath are also upstairs. Full unfinished Basement awaits your personal touch. Minutes away from all shopping, schools, parks and Anthony Hendy. Your home Awaits!"
 Address Withheld,Rural Strathcona County,T8E 1C1,Colonial Estates (Strathcona),AB,5,4,3,1,"$729,900",-1.0,3479,1993,10/8/2021,"Acreage Living at it's finest! Sitting on 3.1 Acres just minutes from Sherwood Park this home boasts over 5200 sqft of living space on all levels and an o/s 3 Car Garage with IN FLOOR HEATING! A Bright open concept 2 storey with soaring cathedral ceilings, a sunken living room incl. a wood burning fireplace, a sprawling Chef's Kitchen with granite counter tops and travertine tile, a separate dining room and a grande foyer. Also on the main floor is your mudroom w/2nd laundry and large Master Suite with spa inspired en suite W/I closet & private deck. Head upstairs to 2 more over sized bedrooms both with W/I closets, a loft area and bonus room for the kids. The basement has a separate entrance and 2nd laundry plus 2 more huge bedrooms, and multiple flex room spaces. Outside enjoy peace & quiet on one of your 3 decks,   Treed and   grass leaves room to golf & bring the animals! Fire pit, kids play center & tire swing complete the yard. NEW CARPET and PAINT (2021) it is ready for you to move in IMMEDIATELY!"
14556 107A Avenue,Edmonton,T5N 1G5,Mcqueen,AB,3,2,2,-1,"$412,000",-1.0,1127,1955,10/8/2021,"Welcome to Chris and Kristen's 1126 square ft bungalow located in the McQueen neighbourhood. This 3 bedroom 2 bathroom home features a fully finished basement, large backyard and a detached oversized 24x26 garage. Upgrades include some newer windows, front door, shingles, hi-efficiency furnace, light fixtures, new fence, garage doors and openers, washer, dryer, dishwasher, renovated basement with vinyl planking and stone veneer fireplace. Close to bus routes, shopping, schools and playground. Make this home yours before someone else does!"
5009 56 Street,Elk Point,T0A 1A0,Elk Point,AB,3,2,2,-1,"$89,900",6607.74,1284,1976,10/8/2021,"AFFORDABLE HOME WITH LARGE FENCED LOT! Say goodbye to monthly lot fees with this modern 1976 mobile home and addition that includes a large 56x118' lot. With 3 bedrooms, 2 baths and storage throughout, this home is perfect for the first time home buyer, family or retiree. The effective age of this home is 1995 with major upgrades including siding, newer vinyl windows, flooring, bathrooms, modern paint colors and much more. The addition features a large master bedroom, walk-in closet and 3 pc ensuite with corner glass shower cabinet and vanity with soft-close drawers. The spacious entryway features 2 closets and ample room for benches, boots and storage.  In the spacious kitchen/dinette, you will find stainless steel fridge and stove and glass tile backsplash.  The exterior features a wood deck and patio with easy access to the home (no stairs) with wood privacy fence for your kids and pets. Back gate to alley.  It's all here and with payments less than rent.  QUICK POSSESSION TOO!"
17617 109 Street,Edmonton,T5X 6H4,Chambery,AB,4,3,3,-1,"$579,800",5271.51,1553,2004,10/8/2021,"Beautiful 2900+sqft home offering 2+2 bedrooms, 3 bathrooms and a fully FINISHED WALKOUT basement BACKING on to a POND. The foyer greets you with slate & hardwood flooring, and a dining/den/flex area. The eat in kitchen holds professionally refinished cabinetry, new granite counters, new appliances, corner pantry, and adjacent dining area with & garden doors to the rear deck. The living room features vaulted ceilings, gas fireplace & large windows with views of the pond. The master bedroom holds an elegant ensuite including a Jacuzzi tub & private water closet. A second generous bedroom, 4pc bath & laundry completes the main level. The developed walkout basement includes in-floor heating, large rec room, family room, 2 bedrooms, & 4 pc bath perfect for in-laws, guests or potential future suite. The backyard has more views of the pond, new deck with sleek glass railings, gas hookup, & perennial plants. Additional upgrades include newer roof, new exterior siding, stone accents, paint, & window coverings."
78 Aldridge Crescent,Sherwood Park,T8H 0Y3,Aspen Trails,AB,4,4,3,1,"$725,000",5661.81,2367,2015,10/8/2021,"Stunning family home tucked onto a quiet cul-de-sac, BACKING trails & features AC, 4 bedrooms & 3.5 baths. Bright & spacious entrance welcomes you into the home to find 9' ceilings & hardwood throughout the great room. Gorgeous kitchen boasts plenty of cabinets, S/S appliances, walk through pantry & granite island that over looks the dining & living room with cozy fireplace. Complimenting the main floor is a large mud room with built in bench & 1/2 bath. Moving upstairs you will find a family sized bonus room! King sized primary bedroom offers a WI closet & luxurious ensuite. 2 additional bedrooms are both generous in size, 4pc main bath & laundry complete the upper level. The basement features a rec room with gas fireplace, 4th bedroom with WI closet, 4pc bath & plenty of storage space. LOVE the privacy of the fenced & landscaped yard with tiered deck with gas line for BBQ & overlooks the yard with sprinkler system backing trails & parks, PLUS steps away from shopping, restaurants & schools."
6025 Schonsee Way,Edmonton,T5C 0C8,Schonsee,AB,5,3,3,-1,"$709,900",4929.01,1873,2013,10/8/2021,"Beautiful WALKOUT Bi-Level on the LAKE!!!! Nearly 1900 sq feet above grade with  a FULLY finished basement. Open floor plan with a generous entry way leading to a gourmet kitchen with vaulted ceilings, useable island, an abundance of cabinetry, gorgeous granite counter tops and a large dining area. Lake view  from your deck! Large living room w/ fireplace. 5 bedrooms in total and 3 bathrooms. The upper level has a den/office and Master Bedroom with beautiful 5 piece ensuite and walk-in closet. Excellent basement development offering a spacious family room with wet bar(kitchen potential), 2 additional bedrooms, bathroom, laundry room and storage space. Oversized  26 x 21 double garage with floor drain. The garage has extra power and is currently set up for a small home business. Stamped concrete on driveway and back yard. Low maintenance property is a huge understatement. Super location and close to parks, shopping, and transit."
61 Sandalwood Place,Leduc,T9E 1C3,Suntree_Ledu,AB,3,3,2,1,"$325,000",2849.96,1395,2014,10/8/2021,"Cozy and upgraded half duplex is conveniently located to walkway, school and amenities. Features include 9 ft ceiling on main floor, laminated flooring, ceramic tile, quartz counter tops throughout, corner gas fireplace, stylish light fixtures and full door closets. Kitchens offers ceiling high cabinetry, stainless steel appliances, L shape counter top and corner pantry. The upstairs come with 2 bedrooms, a small loft and a spacious primary bedroom with a walk in closet and 4 pcs en suite. The main floor laundry has additional storage cabinets and access into an over sized single car attached garage.  The fully fenced back yard is large enough to accommodate kids equipment, small garden and a deck with a privacy wall. The unfinished basement offers 9 ft ceiling and nicely tacked in utility items."
48 Osborne Close,St. Albert,T8N 6T2,Oakmont,AB,4,4,3,1,"$422,900",5338.89,2003,1999,10/8/2021,"This 4 bedroom 2 storey home is sure to impress inside and out. Tucked away in a quiet cul-de-sac location just steps away from parks and playgrounds. The main floor features an open kitchen with centre island, corner pantry and upgraded stainless steel appliances, large eating nook with direct access to the private landscaped yard and practical great room with feature fireplace. The upper level comes complete with 3 good sized bedrooms and large bonus room with vaulted ceilings and second fireplace. The master retreat includes a separate full ensuite. The fully finished basement has a large family room, 4th bedroom and full bathroom. The oversized double attached garage completes this well cared for home."
13412 Fort Road,Edmonton,T5A 1C5,Belvedere,AB,5,2,1,1,"$354,900",5941.67,1579,1941,10/8/2021,"This beautiful character home has been completely renovated inside & out! It also has full capability & zoning for a home based business (currently being used as a hair salon). The pride in ownership shows, and no detail went unnoticed when renovating this stunning 5 bedroom home. The home features business potential on the main and upper floor with 3 bedrooms, a half bathroom, kitchen, and living room and then a 2 bedroom suite with a bathroom with beautifully tiled walk in shower and shared laundry space in the basement giving you the potential to run your business and live on site! You will feel like you are stepping into a new home with the brand new paint, flooring, lighting, cabinetry, counters, plumbing fixtures, appliances, roof, eaves, exterior siding & masonry, furnace, and hot water tank. Home comes with a front & rear entry, double oversized detached garage, and even comes with a gorgeous patio & garden! This home is truly one of a kind located centrally for a perfect business location!"
8905 77 Avenue,Edmonton,T6C 0L8,King Edward Park,AB,6,5,4,1,"$998,000",5801.96,2440,2016,10/8/2021,"One of a Kind Fully UPGRADED & CUSTOMIZED total 6 bedroom 2 story home. TRIPLE MASTER BEDROOMS AND LEGAL BASEMENT WITH 3 BEDROOMS & SECOND KITCHEN & LAUNDRY. Located in a quiet neighbourhood in the King Edward Park community. Warm living areas with fantastic layout and 9ft Ceiling. Modern kitchen with Custom Made cabinets, huge island, built-in oven and build-in microwave and all Kitchen-Aid Appliances. Plenty of STORAGE & WALKIN PANTRY. Decent size office located on the main floor. South Facing living room with gas fireplace and electric window coverings. Granite counter top and upgraded ceiling lights through out the house. Huge South-Facing Backyard with Covered deck and decent sunlight. Upper level has 3 master bedrooms with a bonus area. Main master has a balcony and another fireplace. Brand new never occupied 9ft basement with three large size bedrooms and separate entrance. This is your opportunity to own your dream home!"
396 Twin Brooks Drive,Edmonton,T6J 6V2,Twin Brooks,AB,4,3,2,1,"$549,900",5857.82,2494,1994,10/8/2021,"There's room for the whole family in this spacious custom built four bedroom plus den home close to school, parks and ravine on desirable Twin Brooks Drive. Step in and admire the elegant living room with soaring ceiling, crown moulding and updated gas fireplace. Entertain in the lovely dining room with china cabinet niche. Enjoy the big kitchen with huge eating area, raised breakfast bar, corner pantry, stainless appliances, and oodles of cabinet space with granite counters. Relax in front of a second fireplace in the comfy family room. A quiet main-floor den, laundry and powder room complete this level. Up the gracious staircase you'll find the oversized primary bedroom with 5 piece ensuite and big walk-in closet, three more generous bedrooms, and main bath. Outside, the private south facing yard holds a big deck and a storage shed. The basement is ready for your creativity, and there's plenty of storage in the large garage. With appliances included, all that's missing is you; so let's get moving!"
2029 Cameron Ravine Way,Edmonton,T6M 0L9,Cameron Heights (Edmonton),AB,5,4,4,-1,"$979,800",-1.0,3045,2010,10/8/2021,"STUNNING FORMER KANVI 3045 sq.ft. SHOWHOME with high end finishings located on a corner lot with a pond across the street. Huge backyard with an oversized maintenance free 2 level deck. This home is perfect for family life & entertaining. Spectacular kitchen with a 13' island, extensive custom built cabinets with soft-close hardware, Sub-Zero & Wolf appliances, quartz countertops in the kitchen & bathrooms. A total of 5 bedrooms & 4 bathrooms. Upstairs is a welcoming bonus room with 11' ceilings, tech loft/study, master bedroom with vaulted ceilings, ensuite with 2 sinks, Kohler digital shower, Jacuzzi tub, 2 bedrooms, laundry room, bathroom. 1035 sq.ft lower level with a bedroom, exercise room, rec room with a f/p, wet bar, 4 piece bathroom. Linear fireplace in the living room, engineered hardwood, open riser staircases with glass railings, home automation system, A/C, epoxy floor, sound system & heater in the garage, 4 zone sprinkler, roller blinds, hide a hose vacuum, Hardie Board siding."
