"Name","description","packSize","code","manufacturer","price"
"Hellmann's Classic Vinaigrette Dressing 1L","A classic ready to use vinaigrette, made with oil, white wine vinegar, mustard and herbs. Great for sprucing up side salads, or use as a lively twist in a marinade","1 x 1ltr","17408","Hellmann's","4.99"
"Brakes Cheesecake Filling Mix with Crumb Base","Contains a powdered sachet to give a creamy filling - and a wholemeal flour crumb mix to add butter to for a crunchy base.","1 x 580g","33890","Brakes","4.99"
"Westlers Premium Range Standard Hot Dogs","Canned Chicken and Pork Hot Dogs in water","20 x 26g (3¾”)","85803","Westlers","4.99"
"Brakes Crème Brûlée Base Mix","Simply bring to the boil, cool in ramekins and refrigerate to set.","1 x 1ltr","86080","Brakes","4.99"
"Brakes Baking Powder","Blended raising agents to bring lightness to flour, cake and scone mixes.","1 x 850g","35023","Brakes","5.09"
"Macphie White Wine Sauce 1 Litre","A rich, creamy sauce enhanced with white wine. Ideal for use with fish, shellfish and poultry.","1 x 1ltr","470471","Macphie","5.09"
"Brakes Light Mayonnaise","In a resealable plastic container and good for 3 weeks refrigerated once opened.","1 x 2.2ltr","89704","Brakes","5.09"
"Brakes Polenta","","1 x 3kg","114967","Brakes","5.19"
"Blue Dragon Plum Sauce 1L","A sweet and rich plum sauce from concentrated plum juice, ginger and cider vinegar","1 x 1ltr","87864","Blue Dragon","5.19"
"Blue Dragon Hoisin Sauce 1L","An aromatic sauce made with Soybean paste, Garlic, White Rice Vinegar and Spices.","1 x 1ltr","88645","Blue Dragon","5.19"
"Brakes Malt Vinegar","The classic condiment for fish 'n' chips. In an easy-to-carry resealable plastic bottle. .","1 x 5ltr","89700","Brakes","5.19"
"Tate & Lyle Fairtrade Pumpkin Coffee Syrup","Cane sugar based beverage syrup with a sweet pumpkin spice flavour.","1 x 750ml","129589","Tate & Lyle","5.19"
"Opies Whole Gherkins with Dill in Sweet Vinegar 1.9kg","","1 x 1.9kg","131179","Opies","5.19"
"Brakes Essentials Gravy Mix","Excellent value mix, ideal for personalising with specialised flavours. In a large resealable plastic container.","1 x 2.5kg (makes 26ltr)","25710","Brakes Essentials","5.25"
"Brakes Chocolate Sauce","Great on profiteroles, ice cream or chocolate sponge pudding. Ready to use hot or cold, in cartons and good for 7 days refrigerated once opened.","1 x 1ltr","2379","Brakes","5.29"
"Brakes Hollandaise Sauce","Ideal paired with C 78245 Brakes Free Range Poached Eggs and F2815 La Boulangerie English Muffins for a luxurious and hassle-free brunch option. Ready to use and packed in litre cartons to minimise waste. A great time-saver!","1 x 1ltr","10156","Brakes","5.29"
"Brakes Crème Anglaise","A delicate, luxurious custard sauce for pouring over hot puddings or fresh fruit pies. Ready to use hot or cold, in cartons and good for 7 days refrigerated once opened.","1 x 1ltr","16295","Brakes","5.29"
"Knorr Professional Chicken Soup 40 Portions","Dehydrated Chicken Soup Mix","1 x 40","111599","Knorr","5.29"
"Knorr Professional Lentil and Bacon Soup 40 Portions","Dehydrated Lentil & Bacon Soup Mix","1 x 40 ptn","111601","Knorr","5.29"
"Brakes Creme Caramel Mix & Caramelised Syrup","Just add water to the dry mix, refrigerate to set, and pour over the included caramelised syrup.","1 x 536g","33560","Brakes","5.39"
"Macphie Cheddar Cheese Sauce 1 Litre","A delicious and creamy sauce made with real cheddar cheese.  Contains no hydrogenated oils and free from artificial colours, flavours and preservatives.  Meets 2012 salt guidelines.  Bain-marie, microwave and freeze-thaw stable.  Suitable for vegetarians. Gluten Free.","1 x 1ltr","470837","Macphie","5.39"
"Brakes Mini Pink and White Marshmallows","Ideal for topping a mug of hot chocolate or for decorating cupcakes. Packed in a handy resealable plastic tub with screw lid.","1 x 450g","118676","Brakes","5.39"
"Triple Lion Ground Turmeric","Ground Turmeric","1 x 500g","132695","Triple Lion","5.39"
"Brakes Parsley","A subtly-flavoured dried herb for adding colour to dishes. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 110g","33591","Brakes","5.49"
"Brakes Peach Halves in Light Syrup","","1 x 2.6kg","100158","Brakes","5.49"
"Drivers Mixed Pickles","A mix of silverskin onions, gherkin pieces, cauliflower florets and diced carrot in a clear vinegar solution.","1 x 2.25kg","87858","Drivers","5.49"
"KTC 100% Pure Coconut Cooking Oil 1L","","1 x 1ltr","126739","KTC","5.49"
"Sliced Beetroot in Water","Sliced Beetroot in Water","1 x 2.95kg","187","","5.59"
"Brakes Solid Pack Rhubarb","Fully prepared rhubarb pieces with no artificial colours. Quick and easy to use in crumbles, pies and tarts. Ready to eat or to use in recipes. A great time-saver!","1 x 2.84kg","6307","Brakes","5.59"
"Knorr Garde d'Or Hollandaise Sauce 1L","Hollandaise prepared sauce","1 x 1ltr","7804","Knorr","5.59"
"Brakes Sliced Green Jalapeno Peppers in Brine","Ready to use and ideal for spicing up Mexican foods. Packed in a resealable jar and pickled in vinegar.","1 x 3kg","9698","Brakes","5.59"
"Brakes Tuna Chunks In Brine","Dolphin friendly, and a Brakes best-seller! Try as a pizza topping with black olives, capers and fresh rocket.","1 x 800g","28283","Brakes","5.59"
"Knorr Garde d'Or Red Wine Sauce 1L","Red wine prepared sauce","1 x 1ltr","35607","Knorr","5.59"
"Knorr Garde d'Or White Wine Sauce 1L","White wine prepared sauce","1 x 1ltr","35606","Knorr","5.59"
"Brakes Mint","A refreshingly sweet herb popular in on-trend Middle Eastern recipes and often paired with fresh mint to intensify flavour. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 140g","33589","Brakes","5.59"
"Brakes Sage","A strong, slightly bitter-tasting herb best used with meat dishes. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 190g","33594","Brakes","5.59"
"Brakes Rosemary","Adds a pine-like fragrance and works particularly well in slow-cooked dishes and with lamb. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 260g","33593","Brakes","5.59"
"Brakes Vinegar Sachets","Colour-coded individual sachets for minimising wastage. Delivered in front-of-house, colour-coded dispenser boxes.","1 x 200","33602","Brakes","5.59"
"Knorr Garde d'Or Pepper Sauce 1L","Pepper prepared sauce","1 x 1ltr","100396","Knorr","5.59"
"Brakes Tomato Ketchup Sachets","A Brakes best-seller! Colour-coded individual sachets for minimising wastage. Delivered in front-of-house, colour-coded dispenser boxes.","1 x 200","3853","Brakes","5.59"
"Schwartz Sriracha Seasoning 320g","A sweet and spicy seasoning blend with garlic and chillies.","1 x 320g","119560","Schwartz","5.59"
"Hellmann's Balsamic Dressing 1L","A delicious ready to use dressing for your salads, made with balsamic vinegar and extra virgin olive oil. Free from artificial flavourings, preservatives and colouring. Suitable for vegans.","1 x 1ltr","17410","Hellmann's","5.69"
"Schwartz Bacon Flavour Bits 320g","","1 x 320g","132153","Schwartz","5.69"
"Oatburst Apple & Blueberry Instant Porridge","Instant oat porridge with dried apple and blueberry flavour.","8 x 57g","84742","Oatburst","5.75"
"Oatburst Golden Syrup Flavour Instant Porridge","Great for grab 'n' go offers - just add boiling water.","8 x 57g","84743","Oatburst","5.75"
"Oatburst Plain Instant Porridge","Instant oat porridge","8 x 57g","85041","Oatburst","5.75"
"Brakes Thyme","A strongly aromatic and slightly bitter herb to add to soups, casseroles and chicken dishes. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 210g","33595","Brakes","5.79"
"Brakes Madras Curry Powder","Earthy, medium-hot, fragrant mix of spices. Use as a marinade overnight to allow a more intense flavour to develop. In a handy clear, resealable jar to keep contents fresher for longer.","1 x 500g","33582","Brakes","5.79"
"Moosebreak Instant Mousse Dessert & Topping Chocolate 450g","Chocolate Flavoured Mousse Dessert Mix","1 x 450g","102672","Moosebreak","5.79"
"Aimia Moosebreak Strawberry Dessert Mix","Strawberry Flavoured Dessert Mousse Mix","1 x 450g","102791","Aimia","5.79"
"Westlers Premium Frankfurter 6 1/2''","Fully cooked frankfurter sausage vacuum packed, ambient storage.","7 x 50g (6½”)","113008","Westlers","5.79"

