rank,restaurant_name,emailaddress,phone_number,address,zipcode,website,yellowpages_rating,yellowpages_review_count,tripadvisor_rating,tripadvisor_review_count,cuisine1,cuisine2,cuisine3,cuisine
52,Guide Church Baptist,church@guidechurch.com,(614) 385-1535,",Hilliard,OH",43026,http://www.guidechurch.com,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
53,Morrow Bible Church,,(740) 625-5542,"423 County Road 204,Centerburg,OH",43011,http://www.morrowbiblechurch.org,5,1,,,Bible Churches,Churches & Places of Worship,Religious Organizations,"Bible Churches,Churches & Places of Worship,Religious Organizations"
54,Calvary Episcopal Church,hergenfluet@hotmail.com,(513) 861-4437,"3766 Clifton Ave Ste B,Cincinnati,OH",45220,http://www.calvaryclifton.org,5,1,,,Episcopal Churches,Churches & Places of Worship,,"Episcopal Churches,Churches & Places of Worship"
55,Grace Episcopal Church,office@gracecollegehill.org,(513) 541-2415,"5501 Hamilton Ave,Cincinnati,OH",45224,http://gracecollegehill.org,5,1,,,Episcopal Churches,Anglican Episcopal Churches,Churches & Places of Worship,"Episcopal Churches,Anglican Episcopal Churches,Churches & Places of Worship"
56,Columbus Bible Way Church,,(614) 491-1620,"2660 Rhoads Ave,Columbus,OH",43207,,5,1,,,Bible Churches,Churches & Places of Worship,,"Bible Churches,Churches & Places of Worship"
57,Tri-Village Christian Church,brucewolfe@columbus.rr.com,(740) 927-8731,"7509 E Broad St SW,Pataskala,OH",43062,http://www.tri-village.org,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
58,Covenant Christian Church,,(740) 392-3152,"13360 New Delaware Rd,Mount Vernon,OH",43050,http://www.covenantchristiancog.com,5,1,,,Covenant Churches,Christian Churches,Churches & Places of Worship,"Covenant Churches,Christian Churches,Churches & Places of Worship,Religious Organizations"
59,Covenant Orthodox Presbyterian Church,church@mansfieldcopc.org,(419) 774-0473,"473 W Cook Rd,Mansfield,OH",44907,http://mansfieldcopc.org,5,1,,,Presbyterian Churches,Churches & Places of Worship,Religious Organizations,"Presbyterian Churches,Churches & Places of Worship,Religious Organizations"
60,Tallmadge Lutheran Church,preschool@tallmadgelutheranchurch.org,(330) 633-4775,"759 East Ave,Tallmadge,OH",44278,https://www.tlcoh.org,5,1,,,Lutheran Churches,Churches & Places of Worship,Lutheran Church Missouri Synod,"Lutheran Churches,Churches & Places of Worship,Lutheran Church Missouri Synod"
151,Riverside United Methodist Church Child Care,,(614) 486-5202,"2701 Zollinger Rd,Columbus,OH",43221,http://www.rumcua.org,5,1,,,Methodist Churches,Child Care,Churches & Places of Worship,"Methodist Churches,Child Care,Churches & Places of Worship,Day Care Centers & Nurseries"
152,"Christ, the Prince of Peace United Methodist Church",mrowland@andersonhillsumc.org,(513) 385-7883,"10507 Colerain Rd,Cincinnati,OH",45252,https://www.westohioumc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
153,North Campus of Fairfield Christian Church,ccullen@fairfieldcc.org,(740) 862-6245,"3420 Blacklick Eastern Rd NW,Baltimore,OH",43105,http://www.fairfieldcc.org,5,1,,,Christian Churches,Churches & Places of Worship,Evangelical Covenant Churches,"Christian Churches,Churches & Places of Worship,Evangelical Covenant Churches,Non-Denominational Churches"
154,White Oak Christian Church,klynch@wocc.cc,(513) 385-0425,"3675 Blue Rock Rd,Cincinnati,OH",45247,http://www.thewocc.com,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
155,Hope United Methodist Church,,(937) 746-3173,"3642 Shaker Rd,Franklin,OH",45005,http://www.hopeumcfranklin.com,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
156,New Journey Christian Mnstrs,,(614) 445-8545,"2450 Performance Way,Columbus,OH",43207,http://newjourneyministries.com,5,1,,,Churches & Places of Worship,Christian Churches,,"Churches & Places of Worship,Christian Churches"
157,Little Flower Catholic Church,,(419) 531-6541,"O Grady Community Center,Toledo,OH",43615,,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
158,Fifth Lutheran Church E L C A,,(937) 322-6338,"1331 E High St,Springfield,OH",45505,http://www.fifthlutheranchurch.org,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
159,Epiphany Lutheran Church,epiphany@epiphanydayton.org,(937) 433-1449,"6430 Far Hills Ave,Dayton,OH",45459,http://epiphanylutheran.us,5,1,,,Lutheran Churches,Churches & Places of Worship,Religious Organizations,"Lutheran Churches,Churches & Places of Worship,Religious Organizations"
160,St Bartholomew Church,,(513) 522-3680,"9375 Winton Rd Ste 2,Cincinnati,OH",45231,,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
161,Garden City Christian Union,,(419) 223-1461,"2276 Garden Blvd,Lima,OH",45805,,5,1,,,Christian Churches,Churches & Places of Worship,Religious Organizations,"Christian Churches,Churches & Places of Worship,Religious Organizations"
162,Holy Trinity Lutheran Church,,(419) 382-5644,"1825 Glendale Ave,Toledo,OH",43614,http://www.trinitylutheran.org,5,1,,,Lutheran Churches,Churches & Places of Worship,Clergy,"Lutheran Churches,Churches & Places of Worship,Clergy"
163,World Outreach Christian Church,churchclerksej@gmail.com,(513) 531-0618,"4222 Hamilton Ave Ste 1,Cincinnati,OH",45223,http://www.bluehost-online.com,5,1,,,Christian Churches,Churches & Places of Worship,Non-Denominational Churches,"Christian Churches,Churches & Places of Worship,Non-Denominational Churches"
164,Monroe United Methodist Church,,(513) 539-7290,"206 East Ave,Monroe,OH",45050,http://www.monroeumc.org,5,1,,,Methodist Churches,Churches & Places of Worship,Clergy,"Methodist Churches,Churches & Places of Worship,Clergy,United Methodist Churches"
165,Church of Saint Andrew United,pastor@churchofstandrew.us,(419) 385-6160,"3662 Heatherdowns Blvd,Toledo,OH",43614,http://www.churchofstandrew.us,5,1,,,United Methodist Churches,Churches & Places of Worship,Methodist Churches,"United Methodist Churches,Churches & Places of Worship,Methodist Churches"
166,Immaculate Conception Parish,,(419) 586-6648,"229 W Anthony St,Celina,OH",45822,http://celina-ic.org,5,1,,,Churches & Places of Worship,Catholic Churches,Religious Organizations,"Churches & Places of Worship,Catholic Churches,Religious Organizations"
167,Christ United Methodist Church,rrumley@jadeinc.com,(614) 231-4568,"1480 Zettler Rd,Columbus,OH",43227,http://www.christcolumbus.com,5,1,,,United Methodist Churches,Churches & Places of Worship,Methodist Churches,"United Methodist Churches,Churches & Places of Worship,Methodist Churches"
168,Woodlawn United Methodist Church,woodlawnoffice1675@gmail.com,(419) 562-1776,"1675 Hopley Ave,Bucyrus,OH",44820,http://www.bucyruswumc.com,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
169,Zion Lutheran Church,zionlutheranpr@gmail.com,(513) 863-5774,"212 S Front St,Hamilton,OH",45011,https://zionhamilton.org,5,1,,,Lutheran Churches,Churches & Places of Worship,Religious Organizations,"Lutheran Churches,Churches & Places of Worship,Religious Organizations"
170,Family Christian Center,,(419) 782-2100,"1832 E 2nd St,Defiance,OH",43512,http://www.fccenter.net,5,1,,,Churches & Places of Worship,Christian Churches,Evangelical Covenant Churches,"Churches & Places of Worship,Christian Churches,Evangelical Covenant Churches,Non-Denominational Churches"
171,New Hope United Methodist Church,,(740) 394-2580,"9825 Gore Church Rd,Logan,OH",43138,https://www.westohioumc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
172,Lebanon United Methodist Church,,(513) 932-4834,"122 E Silver St,Lebanon,OH",45036,http://www.lebumc.org,5,1,,,Methodist Churches,Churches & Places of Worship,Religious Organizations,"Methodist Churches,Churches & Places of Worship,Religious Organizations"
173,Flanders Road Church Of Christ,,(419) 882-8188,"5130 Flanders Rd,Toledo,OH",43623,http://www.flandersrdchurchofchrist.com,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
174,First Evangelical Lutheran Church,,(937) 372-7421,"287 W Main St,Xenia,OH",45385,http://www.firstlutheranxenia.org,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
175,Xenos Christian Fellowship,jhannounce-subscribe@yahoogroups.com,(614) 823-6500,"1340 Community Park Dr,Columbus,OH",43229,http://www.xenos.org,5,1,,,Christian Churches,Churches & Places of Worship,Non-Denominational Churches,"Christian Churches,Churches & Places of Worship,Non-Denominational Churches,Religious Organizations"
176,Emmanuel Catholic Church,,(937) 228-2013,"149 Franklin St,Dayton,OH",45402,http://www.emmanuelcatholic.com,5,1,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy"
177,First Church Of God,,(937) 766-1931,"114 W Elm St,Cedarville,OH",45314,http://www.cedarcog.weebly.com,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
178,Plainview Open Bible Church,,(937) 687-1525,"1488 Johnsville Brookville Rd,Brookville,OH",45309,,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
179,Saint James Church of White Oak,infosjs@stjameswo.org,(513) 741-5333,"6111 Cheviot Rd,Cincinnati,OH",45247,http://www.stjameswo.org,5,1,,,Catholic Churches,Churches & Places of Worship,Religious General Interest Schools,"Catholic Churches,Churches & Places of Worship,Religious General Interest Schools"
180,Tyler Memorial United Methodist Church,tylerchurch@horizonview.net,(740) 773-1270,"260 Mill St,Chillicothe,OH",45601,http://www.tylerchurch.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
211,Central Baptist Church,,(614) 279-3115,"1955 Frank Rd,Columbus,OH",43223,http://www.centralbaptistcolumbus.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
212,Second Baptist Church,,(740) 362-4893,"55 Ross St,Delaware,OH",43015,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
213,Family Missionary Baptist,,(614) 252-7488,"996 Oakwood Ave,Columbus,OH",43206,http://familymissionarybaptistchurch.com,5,1,,,Baptist Churches,Churches & Places of Worship,Clergy,"Baptist Churches,Churches & Places of Worship,Clergy,Missionary Churches"
214,Capitol City Baptist Church,,(614) 476-3366,"5442 Sunbury Rd,Columbus,OH",43230,http://www.capitolcitybaptistchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
215,Peace Baptist Church,,(513) 281-2389,"652 Rockdale Ave,Cincinnati,OH",45229,http://www.peaceinavondale.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
216,Fairfield West Baptist Church,Steve@fwbc.us,(513) 829-6129,"5345 Muskopf Rd,Fairfield,OH",45014,http://www.jesusredeems.us,5,1,,,Baptist Churches,Churches & Places of Worship,Southern Baptist Convention Churches,"Baptist Churches,Churches & Places of Worship,Southern Baptist Convention Churches"
217,Montgomery Community Church,communications@mcc.us,(513) 489-0892,"11251 Montgomery Rd,Cincinnati,OH",45249,http://www.mcc.church,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
218,Willing Spirit Baptist Church,,(513) 661-8904,"2012 Westwood Northern Blvd,Cincinnati,OH",45225,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
219,Cornerstone Baptist Church,jonathanpgordon@cinci.rr.com,(513) 541-9444,"770 E Epworth Ave,Cincinnati,OH",45232,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
220,Glenwood Lutheran Church,glenwoodlc@gmail.com,(419) 255-0886,"2545 Monroe St,Toledo,OH",43620,,5,1,,,Lutheran Churches,,,Lutheran Churches
221,"Milford Miami Ministry, (MMM)",Chairperson@MMMinistry.org,(513) 248-1114,"844 State Route 131,Milford,OH",45150,http://www.mmministry.org,5,1,,,Food Banks,Christian Churches,Religious Organizations,"Food Banks,Christian Churches,Religious Organizations"
222,Tabernacle of Praise Church,,(419) 794-8671,"1217 Prouty Ave,Toledo,OH",43609,http://www.tofpraise.org,5,1,,,Religious Organizations,Churches & Places of Worship,Counseling Services,"Religious Organizations,Churches & Places of Worship,Counseling Services"
223,Church on the Move,,(330) 834-1127,"1527 Amherst Rd NE,Massillon,OH",44646,http://massilloncotm.com,5,1,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
224,Faith Life Church,,(740) 964-7400,"2407 Beech Rd,New Albany,OH",43054,http://www.faithlifechurch.org,5,1,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
225,Summit Pentecostal Church,,(330) 688-4527,"209 Northmoreland Ave,Munroe Falls,OH",44262,,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
226,Lisbon Assembly of God,,(330) 424-7334,"39442 State Route 517,Lisbon,OH",44432,http://105216.agchurches.org,5,1,,,Assemblies of God Churches,Churches & Places of Worship,,"Assemblies of God Churches,Churches & Places of Worship"
227,River Of Life Community Church,,(740) 453-9393,"2960 Maysville Pike,Zanesville,OH",43701,,5,1,,,Community Churches,Churches & Places of Worship,Community of Christ Churches,"Community Churches,Churches & Places of Worship,Community of Christ Churches"
228,Church of Pentecost,pastor@churchofpentecost.net,(216) 631-4192,"2951 W 32nd St,Cleveland,OH",44113,http://www.churchofpentecost.net,5,1,,,Pentecostal Churches,Churches & Places of Worship,,"Pentecostal Churches,Churches & Places of Worship"
229,Fort Harmar Assembly Of God,riveroflifeag@yahoo.com,(740) 374-8967,"200 Franklin St,Marietta,OH",45750,,5,1,,,Pentecostal Churches,Churches & Places of Worship,,"Pentecostal Churches,Churches & Places of Worship"
230,Faith Chapel Fellowship,faithchapelsalem@sbcglobal.net,(330) 332-8573,"511 W Pershing St,Salem,OH",44460,http://www.faithchapelfellowship.com,5,1,,,Churches & Places of Worship,Counseling Services,Non-Denominational Churches,"Churches & Places of Worship,Counseling Services,Non-Denominational Churches"
231,First United Pentecostal Church,nbatchelor@upci.org,(704) 452-7168,"1318 Clover St,Zanesville,OH",43701,http://www.upci.org,5,1,,,Churches & Places of Worship,Apostolic Churches,,"Churches & Places of Worship,Apostolic Churches"
232,Jefferson Nazarene Church,,(440) 576-6556,"55 E Satin St,Jefferson,OH",44047,http://nazarene.org,5,1,,,Church of the Nazarene,Churches & Places of Worship,Nazarene Churches,"Church of the Nazarene,Churches & Places of Worship,Nazarene Churches,Religious Organizations"
233,Freedom Covenant Center,pastormc@earthlink.net,(216) 341-3221,"9700 Kinsman Rd,Cleveland,OH",44104,http://www.freedomcovenantcenter.org,5,1,,,Covenant Churches,Churches & Places of Worship,Evangelical Covenant Churches,"Covenant Churches,Churches & Places of Worship,Evangelical Covenant Churches,Religious Organizations"
234,Perfecting Saints Ministries,,(330) 724-1950,"1035 Rosemary Blvd Ste A,Akron,OH",44306,,5,1,,,Churches & Places of Worship,Evangelical Churches,Non-Denominational Churches,"Churches & Places of Worship,Evangelical Churches,Non-Denominational Churches"
235,Euclid Foursquare Church,dwoolfork@att.net,(216) 531-3040,"18950 Euclid Ave,Euclid,OH",44117,http://www.foursquare.org/churches/30589,5,1,,,Foursquare Gospel Churches,Churches & Places of Worship,Religious Organizations,"Foursquare Gospel Churches,Churches & Places of Worship,Religious Organizations"
236,Jehovah's Witnesses,,(419) 668-0998,"37 Cline St,Norwalk,OH",44857,http://www.jw.org/en,5,1,,,Jehovah's Witnesses Places of Worship,Churches & Places of Worship,,"Jehovah's Witnesses Places of Worship,Churches & Places of Worship"
237,Lake Erie Church Of God,lisa@lakeeriechurch.com,(440) 259-2310,"3050 Antioch Rd,Perry,OH",44081,https://www.lakeeriechurch.com,5,1,,,Church of God,Churches & Places of Worship,,"Church of God,Churches & Places of Worship"
238,Christ Episcopal Church,christchurchkent@att.net,(330) 673-4604,"118 S Mantua St,Kent,OH",44240,http://www.christchurchkent.org,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
239,Kirtland Bethel Bible Church,pastorjoel@kirtlandbethelbible.org,(440) 256-8727,"10172 Chillicothe Rd.,Kirtland,OH",44094,http://www.kirtlandbethelbible.org,5,1,,,Independent Bible Churches,Churches & Places of Worship,,"Independent Bible Churches,Churches & Places of Worship"
240,Cascade Community Church,,(330) 773-5298,"1196 Inman St,Akron,OH",44306,http://www.cccohio.org,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
271,Deliverance Overcoming Church,,(216) 391-7289,"7201 Quincy Ave,Cleveland,OH",44104,http://www.docog.org,5,1,,,Deliverance Churches,Churches & Places of Worship,,"Deliverance Churches,Churches & Places of Worship"
272,Rivers of Living Water Ministries,,(330) 819-9967,"211 1st St NW,Barberton,OH",44203,,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
273,First Evangelical Church,,(330) 453-5125,"1509 Broad Ave NW,Canton,OH",44708,,5,1,,,Congregational Churches,Churches & Places of Worship,,"Congregational Churches,Churches & Places of Worship"
274,Songtsen Gampo Buddhist Center,,(216) 471-8840,"14021 Madison Ave,Lakewood,OH",44107,http://buddhistcleveland.org,5,1,,,Buddhist Places of Worship,Churches & Places of Worship,,"Buddhist Places of Worship,Churches & Places of Worship"
275,Newark Heights Church of God,newarkheights@yahoo.com,(740) 344-8897,"1092 W Church St,Newark,OH",43055,,5,1,,,Church of God,Churches & Places of Worship,Religious Organizations,"Church of God,Churches & Places of Worship,Religious Organizations"
276,Pilgrim Ucc,whitneyk@ucc.org,(440) 323-2076,"523 E Broad St,Elyria,OH",44035,http://www.pilgrimcf.org,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
277,Church on the Rise,info@churchontherise.net,(440) 808-0200,"3550 Crocker Rd,Westlake,OH",44145,http://www.churchontherise.net,5,1,,,Churches & Places of Worship,Evangelical Covenant Churches,Non-Denominational Churches,"Churches & Places of Worship,Evangelical Covenant Churches,Non-Denominational Churches,Religious Organizations"
278,Springfield Assembly Of God,webmaster@akron-springfield-ag.org,(330) 733-8701,"1551 Canton Rd,Akron,OH",44312,http://www.akron-springfield-ag.org,5,1,,,Assemblies of God Churches,Churches & Places of Worship,Pentecostal Churches,"Assemblies of God Churches,Churches & Places of Worship,Pentecostal Churches,Rehabilitation Services"
279,McKinley Community Church,,(330) 372-4780,"1524 Elm Rd NE,Warren,OH",44483,,5,1,,,Evangelical Covenant Churches,Churches & Places of Worship,Religious Organizations,"Evangelical Covenant Churches,Churches & Places of Worship,Religious Organizations"
280,New Life Tabernacle,,(330) 832-4279,"3542 12th St NW,Massillon,OH",44646,http://www.newlifetab.org,5,1,,,Apostolic Churches,Churches & Places of Worship,Pentecostal Churches,"Apostolic Churches,Churches & Places of Worship,Pentecostal Churches"
281,Bible Holiness Church,,(330) 753-2521,"3414 Huntsberger St,Norton,OH",44203,,5,1,,,Holiness Churches,Churches & Places of Worship,Religious Counseling,"Holiness Churches,Churches & Places of Worship,Religious Counseling"
282,Temple Israel Ner Tamid,tint@TINTcleveland.org,(440) 473-5120,"1732 Lander Rd,Cleveland,OH",44124,http://www.tintcleveland.org,5,1,,,Synagogues,Churches & Places of Worship,,"Synagogues,Churches & Places of Worship"
283,Higher Praise Covenant Church,,(330) 394-0055,"857 N Park Ave,Warren,OH",44483,http://hpcc.org,5,1,,,Evangelical Covenant Churches,Churches & Places of Worship,,"Evangelical Covenant Churches,Churches & Places of Worship"
284,Meadowbrook Church of God,,(740) 859-6511,"10152 State Route 150,Rayland,OH",43943,,5,1,,,Church of God,Churches & Places of Worship,Non-Denominational Churches,"Church of God,Churches & Places of Worship,Non-Denominational Churches,Religious Organizations"
285,United Church of Huntington,,(440) 647-4491,"26677 State Route 58,Wellington,OH",44090,https://www.unitedchurchofhuntington.com/uch,5,1,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
286,Valley View Village Church,valleyvw@ucom.net,(216) 524-3415,"11401 Tinkers Creek Rd,Cleveland,OH",44125,http://www.valleyviewvillagechurch.com,5,1,,,Evangelical Covenant Churches,Churches & Places of Worship,,"Evangelical Covenant Churches,Churches & Places of Worship"
287,Central Church of Christ,lakeshorecoc@yahoo.com,(740) 397-1840,"1005 Harcourt Rd,Mount Vernon,OH",43050,http://www.church-of-christ.net,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
288,New Beginnings Assembly Of God,PastorRexKing@AGChurches.org,(419) 447-8320,"733 N Sandusky St,Sullivan,OH",44880,http://www.newbeginningstiffin.com,5,1,,,Assemblies of God Churches,Churches & Places of Worship,Pentecostal Churches,"Assemblies of God Churches,Churches & Places of Worship,Pentecostal Churches"
289,Cortland United Methodist Church,CortlandUMC@centurylink.net,(330) 637-2571,"155 N High St,Cortland,OH",44410,http://www.cortlandumc.org,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
290,New Hope Learning Center,office@churchofnewhope.com,(330) 688-9970,"4415 Darrow Rd,Stow,OH",44224,http://www.newhopelearningcenter.org,5,1,,,Child Care,Churches & Places of Worship,,"Child Care,Churches & Places of Worship"
291,Community Drop In Center,maryloveecox@aol.com,(330) 456-7692,"1492 Cherry Ave SE,Canton,OH",44707,,5,1,,,Community Organizations,Churches & Places of Worship,,"Community Organizations,Churches & Places of Worship"
292,Bedford Church of the Nazarene,bcnaccount@bcn.org,(440) 232-7440,"365 Center Rd,Bedford,OH",44146,http://www.bcn.org,5,1,,,Day Care Centers & Nurseries,Child Care,Churches & Places of Worship,"Day Care Centers & Nurseries,Child Care,Churches & Places of Worship,Nursery Schools"
293,Catholic Charities,,(440) 845-7700,"6753 State Rd,Cleveland,OH",44134,http://www.catholiccharitiesusa.org,5,1,,,Charities,Churches & Places of Worship,Social Service Organizations,"Charities,Churches & Places of Worship,Social Service Organizations"
294,Tabernacle of Praise Church,,(419) 794-8671,"1217 Prouty Ave,Toledo,OH",43609,http://www.tofpraise.org,5,1,,,Religious Organizations,Churches & Places of Worship,Counseling Services,"Religious Organizations,Churches & Places of Worship,Counseling Services"
295,Springdale Nazarene Church,gathering@springdalenazarene.org,(513) 771-3571,"11177 Springfield Pike,Cincinnati,OH",45246,http://www.springdalenaz.com,5,1,,,Church of the Nazarene,Churches & Places of Worship,,"Church of the Nazarene,Churches & Places of Worship"
296,The Gathering Place,pastormike@mariongatheringplace.com,(740) 389-1749,"1300 Mount Vernon Ave,Marion,OH",43302,,5,1,,,Foursquare Gospel Churches,Churches & Places of Worship,Religious Organizations,"Foursquare Gospel Churches,Churches & Places of Worship,Religious Organizations"
297,Christian Life Center,,(513) 528-5433,"509 Roney Ln,Cincinnati,OH",45244,http://www.christlifecenter.com,5,1,,,Assemblies of God Churches,Churches & Places of Worship,,"Assemblies of God Churches,Churches & Places of Worship"
298,Obetz Christian Church,,(614) 491-1295,"4501 Groveport Rd,Obetz,OH",43207,http://obetz.oh.us,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
299,The Church of Jesus Christ of Latter-day Saints,DataPrivacyOfficer@ldschurch.org,(419) 352-2659,"1033 Conneaut Ave,Bowling Green,OH",43402,http://www.mormon.org,5,1,,,Church of Jesus Christ of Latter-day Saints,Churches & Places of Worship,,"Church of Jesus Christ of Latter-day Saints,Churches & Places of Worship"
300,Living Word Church,,(937) 454-0609,"926 E National Rd,Vandalia,OH",45377,,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
61,Wind Benath My Wings Christian Fellowship,,(330) 753-9570,"3081 Barber Rd,Norton,OH",44203,,5,1,,,Churches & Places of Worship,Christian Churches,Religious Organizations,"Churches & Places of Worship,Christian Churches,Religious Organizations"
62,Church of Christ-Euclid,,(216) 261-6505,"635 E 250th St,Euclid,OH",44132,http://www.euclidchurchofchrist.org,5,1,,,Church of Christ,Churches & Places of Worship,,"Church of Christ,Churches & Places of Worship"
63,Pilgrim Church Of Christ,pilgirm@churchofchrist.org,(216) 761-2279,"616 E 105th St,Cleveland,OH",44108,http://www.church-of-christ.org,5,1,,,Apostolic Churches,Church of Christ,Churches & Places of Worship,"Apostolic Churches,Church of Christ,Churches & Places of Worship,Clergy"
64,Grace Lutheran Church,graceluth@graceluth.com,(330) 426-2256,"87 W Grant St,East Palestine,OH",44413,http://epgracelutheran.com,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
65,Kirtland Christian Fellowship,kcfchurch@sbcglobal.com,(440) 256-1001,"10001 Chillicothe Rd,Willoughby,OH",44094,http://www.kirtlandchristian.org,5,1,,,Christian Churches,Churches & Places of Worship,Non-Denominational Churches,"Christian Churches,Churches & Places of Worship,Non-Denominational Churches"
66,Riverwood Community Chapel,info@riverwoodchapel.org,(330) 678-7000,"1407 Fairchild Ave,Kent,OH",44240,http://www.riverwoodchapel.org,5,1,,,Evangelical Covenant Churches,Churches & Places of Worship,Interdenominational Churches,"Evangelical Covenant Churches,Churches & Places of Worship,Interdenominational Churches,Non-Denominational Churches,Various Denomination Churches"
67,Church of Christ at Forest Hill,fhbiblecourse@gmail.com,(216) 371-1743,"3425 Mayfield Rd,Cleveland,OH",44118,http://www.foresthillcofc.com,5,1,,,Church of Christ,Churches & Places of Worship,Religious Counseling,"Church of Christ,Churches & Places of Worship,Religious Counseling,Religious Organizations,United Church of Christ"
68,Wooster Bible Church,woosterbiblechurch@gmail.com,(330) 345-7714,"344 N Columbus Ave,Wooster,OH",44691,http://woosterbiblechurch.org,5,1,,,Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches,"Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches"
69,Hillcrest Christian Gathering,hillcrest2010@att.net,(740) 676-6280,"4296 Franklin St,Bellaire,OH",43906,,5,1,,,Christian Churches,Churches & Places of Worship,Full Gospel Churches,"Christian Churches,Churches & Places of Worship,Full Gospel Churches"
70,Grace Lutheran Church,,(216) 221-4959,"13030 Madison Ave,Lakewood,OH",44107,http://gracelutheranlakewood.org,5,1,,,Lutheran Churches,Churches & Places of Worship,Clergy,"Lutheran Churches,Churches & Places of Worship,Clergy"
71,New Albany Presbyterian Church,admin@newalbanypresbyterian.org,(614) 933-9680,"5220 Johnstown Rd,New Albany,OH",43054,http://www.newalbanypresbyterian.org,5,1,,,Presbyterian Churches,Churches & Places of Worship,Religious Organizations,"Presbyterian Churches,Churches & Places of Worship,Religious Organizations"
72,Divinity Lutheran Church Elca,,(440) 845-2060,"11877 Blossom Ave,Cleveland,OH",44130,http://www.divinitylutheran.com,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
73,Living Hope Church Of the C&MA,choffice@livinghopecma.us,(330) 488-2232,"327 Trump Ave NE,East Canton,OH",44730,http://livinghopecma.net,5,1,,,Christian Churches,Christian & Missionary Alliance Churches,Churches & Places of Worship,"Christian Churches,Christian & Missionary Alliance Churches,Churches & Places of Worship,Religious Organizations"
74,Church On The North Coast,info@cnclove.org,(440) 960-1100,"4125 Leavitt Rd,Lorain,OH",44053,http://cnclove.org,5,1,,,Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches,"Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches"
75,Messiah Lutheran Church,eelc.office@gmail.com,(330) 872-0382,"4920 Fairport Rd,Newton Falls,OH",44444,http://messiahhoffman.org,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
